80, 84, 3, 13, 
81, 81, 4, 15, 
82, 82, 5, 13, 
83, 82, 2, 16, 
84, 82, 1, 17, 
85, 81, 2, 17, 
86, 81, 1, 18, 
87, 82, 3, 15, 
88, 82, 3, 15, 
89, 83, 5, 12, 
90, 86, 3, 11, 
91, 86, 2, 12, 
92, 86, 3, 11, 
93, 88, 2, 10, 
94, 89, 0, 11, 
95, 90, 0, 10, 
96, 88, 2, 10, 
97, 86, 3, 11, 
98, 86, 2, 12, 
99, 86, 2, 12, 
100, 89, 2, 9, 
101, 89, 2, 9, 
102, 89, 1, 10, 
103, 89, 2, 9, 
104, 89, 1, 10, 
105, 90, 0, 10, 
106, 89, 1, 10, 
107, 87, 3, 10, 
108, 87, 2, 11, 
109, 86, 3, 11, 
110, 86, 3, 11, 
111, 86, 1, 13, 
112, 86, 2, 12, 
113, 85, 2, 13, 
114, 85, 1, 14, 
115, 85, 1, 14, 
116, 84, 3, 13, 
117, 84, 2, 14, 
118, 83, 3, 14, 
119, 83, 1, 16, 
120, 84, 0, 16, 
121, 85, 0, 15, 
122, 83, 2, 15, 
123, 86, 0, 14, 
124, 86, 0, 14, 
125, 86, 0, 14, 
126, 87, 1, 12, 
127, 87, 0, 13, 
128, 87, 0, 13, 
129, 88, 0, 12, 
130, 86, 3, 11, 
131, 85, 3, 12, 
132, 85, 4, 11, 
133, 84, 5, 11, 
134, 83, 4, 13, 
135, 84, 3, 13, 
136, 83, 3, 14, 
137, 83, 2, 15, 
138, 83, 1, 16, 
139, 80, 4, 16, 
140, 82, 3, 15, 
141, 82, 3, 15, 
142, 82, 2, 16, 
143, 81, 4, 15, 
144, 81, 2, 17, 
145, 82, 2, 16, 
146, 83, 2, 15, 
147, 83, 3, 14, 
148, 84, 2, 14, 
149, 83, 5, 12, 
150, 83, 2, 15, 
151, 84, 0, 16, 
152, 82, 3, 15, 
153, 80, 3, 17, 
154, 78, 5, 17, 
155, 79, 2, 19, 
156, 79, 3, 18, 
157, 79, 2, 19, 
158, 78, 4, 18, 
159, 78, 2, 20, 
160, 76, 3, 21, 
161, 77, 3, 20, 
162, 77, 1, 22, 
163, 76, 2, 22, 
